ID,Manufacturer,Model,Nickname,Year Start,Year End,Engine Size,Tyre Size ,Wheel Size ,ROAD HERO SKU,SRP INC VAT,Trade Price
52,Alfa Romeo,145,930A,1994,2001,"1.4i,1.6i,1.7i,1.9 JTD,1.9 TD",125/80/15,"15""",RH001,199,125
54,Alfa Romeo,145,930A,1994,2001,"1.8i TS,2.0i TS",125/80/15,"15""",RH001,199,125
53,Alfa Romeo,146,930B,1995,2001,"1.4i,1.6i,1.7i,1.9 JTD,1.9 TD",125/80/15,"15""",RH001,199,125
56,Alfa Romeo,146,930B,1995,2001,"1.8i TS,2.0i TS",125/80/15,"15""",RH001,199,125
55,Alfa Romeo,147,937,2000,2010,"1.6i,1.9 JTD,1.9 JTD V16",125/80/17,"17""",RH025,249,155
57,Alfa Romeo,147,937,2000,2010,"1.9 JTD V16,2.0i TS",125/80/17,"17""",RH025,249,155
59,Alfa Romeo,147,937,2000,2010,3.2i GTA,125/80/17,"17""",RH025,249,155
60,Alfa Romeo,156,932,1997,2007,"1.6 TS,1.8 TS,1.9 JTD,1.9 M-Jet,2.4 JTD",125/80/17,"17""",RH025,249,155
64,Alfa Romeo,156,932,1997,2007,"1.9 M-Jet,2.0 JTS,2.0 TS,2.4 JTD,2.5i",125/80/17,"17""",RH025,249,155
66,Alfa Romeo,156,932,1997,2007,2.5i,125/80/17,"17""",RH025,249,155
67,Alfa Romeo,156,932,1997,2007,3.2 GTA,125/80/17,"17""",RH025,249,155
70,Alfa Romeo,166,936,1998,2007,"2.0 TS,2.4 JTD,2.4 JTD 20V,2.5 24V",125/80/17,"17""",RH026,249,155
72,Alfa Romeo,166,936,1998,2007,"2.0 T,3.0 24V,3.2 24V",125/80/17,"17""",RH026,249,155
78,Alfa Romeo,4C,960,2013,2020,1.75TBi,125/80/17,"17""",RH025,249,155
93,Alfa Romeo,Giulia,952,2015,1900,2.2 TD,125/80/18,"18""",RH280,299,182.5
95,Alfa Romeo,Giulia,952,2015,1900,"2.0 Turbo,2.2 TD",125/80/18,"18""",RH280,299,182.5
97,Alfa Romeo,Giulia,952,2015,1900,2.0 Turbo,125/80/18,"18""",RH280,299,182.5
100,Alfa Romeo,Giulietta,940,2010,1900,"1.4 TB,1.6 JTDm",125/80/17,"17""",RH028,249,155
102,Alfa Romeo,Giulietta,940,2010,1900,"1.4 TB,2.0 JTDm",125/80/17,"17""",RH028,249,155
104,Alfa Romeo,Giulietta,940,2010,1900,1.75 TBi,125/80/17,"17""",RH028,249,155
105,Alfa Romeo,GT,937,2003,2010,"1.8 TS,1.9 JTD,2.0 JTS",125/80/17,"17""",RH025,249,155
