ID,Manufacturer,Model,Nickname,Year Start,Year End,Engine Size,Tyre Size ,Wheel Size ,Part code,Sell Inc Vat,Cost,Logo Image,Image 1,Image 2,Image 3
52,Alfa Romeo,145,930A,1994,2001,"1.4i,1.6i,1.7i,1.9 JTD,1.9 TD",125/80/15,"15""",RH001,199,125,Picture,Picture,Picture,Picture
54,Alfa Romeo,145,930A,1994,2001,"1.8i TS,2.0i TS",125/80/15,"15""",RH001,199,125,Picture,Picture,Picture,Picture
53,Alfa Romeo,146,930B,1995,2001,"1.4i,1.6i,1.7i,1.9 JTD,1.9 TD",125/80/15,"15""",RH001,199,125,Picture,Picture,Picture,Picture
56,Alfa Romeo,146,930B,1995,2001,"1.8i TS,2.0i TS",125/80/15,"15""",RH001,199,125,Picture,Picture,Picture,Picture
55,Alfa Romeo,147,937,2000,2010,"1.6i,1.9 JTD,1.9 JTD V16",125/80/17,"17""",RH025,249,155,Picture,Picture,Picture,Picture
57,Alfa Romeo,147,937,2000,2010,"1.9 JTD V16,2.0i TS",125/80/17,"17""",RH025,249,155,Picture,Picture,Picture,Picture
59,Alfa Romeo,147,937,2000,2010,3.2i GTA,125/80/17,"17""",RH025,249,155,Picture,Picture,Picture,Picture
60,Alfa Romeo,156,932,1997,2007,"1.6 TS,1.8 TS,1.9 JTD,1.9 M-Jet,2.4 JTD",125/80/17,"17""",RH025,249,155,Picture,Picture,Picture,Picture
64,Alfa Romeo,156,932,1997,2007,"1.9 M-Jet,2.0 JTS,2.0 TS,2.4 JTD,2.5i",125/80/17,"17""",RH025,249,155,Picture,Picture,Picture,Picture
66,Alfa Romeo,156,932,1997,2007,2.5i,125/80/17,"17""",RH025,249,155,Picture,Picture,Picture,Picture
67,Alfa Romeo,156,932,1997,2007,3.2 GTA,125/80/17,"17""",RH025,249,155,Picture,Picture,Picture,Picture
70,Alfa Romeo,166,936,1998,2007,"2.0 TS,2.4 JTD,2.4 JTD 20V,2.5 24V",125/80/17,"17""",RH026,249,155,Picture,Picture,Picture,Picture
72,Alfa Romeo,166,936,1998,2007,"2.0 T,3.0 24V,3.2 24V",125/80/17,"17""",RH026,249,155,Picture,Picture,Picture,Picture
78,Alfa Romeo,4C,960,2013,2020,1.75TBi,125/80/17,"17""",RH025,249,155,Picture,Picture,Picture,Picture
93,Alfa Romeo,Giulia,952,2015,,2.2 TD,125/80/18,"18""",RH280,299,182.5,Picture,Picture,Picture,Picture
95,Alfa Romeo,Giulia,952,2015,,"2.0 Turbo,2.2 TD",125/80/18,"18""",RH280,299,182.5,Picture,Picture,Picture,Picture
97,Alfa Romeo,Giulia,952,2015,,2.0 Turbo,125/80/18,"18""",RH280,299,182.5,Picture,Picture,Picture,Picture
100,Alfa Romeo,Giulietta,940,2010,,"1.4 TB,1.6 JTDm",125/80/17,"17""",RH028,249,155,Picture,Picture,Picture,Picture
102,Alfa Romeo,Giulietta,940,2010,,"1.4 TB,2.0 JTDm",125/80/17,"17""",RH028,249,155,Picture,Picture,Picture,Picture
104,Alfa Romeo,Giulietta,940,2010,,1.75 TBi,125/80/17,"17""",RH028,249,155,Picture,Picture,Picture,Picture
105,Alfa Romeo,GT,937,2003,2010,"1.8 TS,1.9 JTD,2.0 JTS",125/80/17,"17""",RH025,249,155,Picture,Picture,Picture,Picture
107,Alfa Romeo,GT,937,2003,2010,3.2,125/80/17,"17""",RH025,249,155,Picture,Picture,Picture,Picture
108,Alfa Romeo,GTV,916,1995,2005,"1.8TS,2.0JTS,2.0TS",125/80/17,"17""",RH025,249,155,Picture,Picture,Picture,Picture
110,Alfa Romeo,GTV,916,1995,2005,"2.0TB,3.0i 24V,3.2i",125/80/17,"17""",RH025,249,155,Picture,Picture,Picture,Picture
112,Alfa Romeo,MiTo,955,2008,2016,"0.9 Turbo TwinAir,0.9i TwinAir,1.3 JTDM,1.4 MultiAir,1.4i",125/80/15,"15""",RH001,199,125,Picture,Picture,Picture,Picture
116,Alfa Romeo,MiTo,955,2008,2016,"1.4 MultiAir,1.4 TB,1.6 JTDM",125/80/15,"15""",RH001,199,125,Picture,Picture,Picture,Picture
119,Alfa Romeo,MiTo,955,2008,2016,1.4 TB,125/80/15,"15""",RH001,199,125,Picture,Picture,Picture,Picture
113,Alfa Romeo,MiTo,955 Facelift,2016,2018,"0.9 Turbo TwinAir,1.3 JTDm,1.4i",125/80/15,"15""",RH001,199,125,Picture,Picture,Picture,Picture
114,Alfa Romeo,MiTo,955 Facelift,2016,2018,"1.4 GPL,1.4 TB",125/80/15,"15""",RH001,199,125,Picture,Picture,Picture,Picture
115,Alfa Romeo,MiTo,955 Facelift,2016,2018,1.4 TB,125/80/15,"15""",RH001,199,125,Picture,Picture,Picture,Picture
120,Alfa Romeo,Spider,916,1995,2005,"1.8TS,2.0JTS,2.0TS",125/80/17,"17""",RH025,249,155,Picture,Picture,Picture,Picture
122,Alfa Romeo,Spider,916,1995,2005,3.0i,125/80/17,"17""",RH025,249,155,Picture,Picture,Picture,Picture
123,Alfa Romeo,Spider,916,1995,2005,3.2i,125/80/17,"17""",RH025,249,155,Picture,Picture,Picture,Picture
129,Alfa Romeo,Stelvio,949,2017,,2.2 TD,155/85/18,"18""",RH226,299,182.5,Picture,Picture,Picture,Picture
131,Alfa Romeo,Stelvio,949,2017,,"2.0 Turbo,2.2 TD",155/85/18,"18""",RH226,299,182.5,Picture,Picture,Picture,Picture
134,Alfa Romeo,Stelvio,949,2017,,2.0 Turbo,155/85/18,"18""",RH226,299,182.5,Picture,Picture,Picture,Picture
136,Alfa Romeo,Stelvio,949,2017,,2.9 Bi-Turbo,175/70/20,"20""",RH289,499,299,Picture,Picture,Picture,Picture
10476,Alfa Romeo,Stelvio,949,2017,,"2.0 Turbo,2.2 TD,2.9 Bi-Turbo",175/70/20,"20""",RH289,499,299,Picture,Picture,Picture,Picture
10602,Alfa Romeo,Tonale,,2022,,"1.3T PHEV,1.5,1.6D",145/80/18,"18""",RH141,299,182.5,Picture,Picture,Picture,Picture
223,Audi,A1,8X,2010,2015,"1.2 TFSi,1.4 TFSi,1.6 TDi",125/80/17,"17""",RH032,249,155,Picture,Picture,Picture,Picture
228,Audi,A1,8X,2010,2015,"1.4 TFSi,2.0 TDi",125/80/17,"17""",RH032,249,155,Picture,Picture,Picture,Picture
230,Audi,A1,8X,2010,2015,1.4 TFSi,125/80/17,"17""",RH032,249,155,Picture,Picture,Picture,Picture
220,Audi,A1,8X Facelift,2014,2018,"1.0 TFSi,1.4 TDi,1.6 TDi",125/80/17,"17""",RH032,249,155,Picture,Picture,Picture,Picture
222,Audi,A1,8X Facelift,2014,2018,1.4 TFSi,125/80/17,"17""",RH032,249,155,Picture,Picture,Picture,Picture
225,Audi,A1,8X Facelift,2014,2018,1.8 TFSi,125/80/17,"17""",RH032,249,155,Picture,Picture,Picture,Picture
221,Audi,A1,GB,2018,,"25 TFSi,30 TFSi",125/80/17,"17""",RH032,249,155,Picture,Picture,Picture,Picture
224,Audi,A1,GB,2018,,35 TFSi,125/80/17,"17""",RH032,249,155,Picture,Picture,Picture,Picture
226,Audi,A1,GB,2018,,40 TFSi,125/80/17,"17""",RH032,249,155,Picture,Picture,Picture,Picture
